year,title,test,budget_2013,domgross_2013,intgross_2013,rated,metascore,imdb_rating,genre
2013,12 Years a Slave,Fail,2,5.3107035,15.8607035,R,97,8.3,Biography
2013,2 Guns,Fail,6.1,7.561246,13.2493015,R,55,6.8,Action
2013,42,Fail,4,9.5020213,9.5020213,PG-13,62,7.6,Biography
2013,47 Ronin,Fail,22.5,3.8362475,14.5803842,PG-13,29,6.6,Action
2013,A Good Day to Die Hard,Fail,9.2,6.7349198,30.4249198,R,28,5.4,Action
2013,About Time,Pass,1.2,1.5323921,8.7324746,R,55,7.8,Drama
2013,Admission,Pass,1.3,1.8007317,1.8007317,PG-13,48,5.7,Comedy
2013,After Earth,Fail,13,6.0522097,24.4373198,PG-13,33,5,Action
2013,American Hustle,Pass,4,14.8430908,24.9484909,R,90,7.5,Crime
2013,August: Osage County,Pass,2.5,3.7304874,5.0304874,R,58,7.4,Drama
2013,Beautiful Creatures,Pass,5,1.9452138,5.5940671,PG-13,52,6.2,Drama
2013,Blue Jasmine,Pass,1.8,3.3345833,6.8447831,PG-13,78,7.4,Comedy
2013,Captain Phillips,Fail,5.5,10.7136417,21.874357,PG-13,83,8,Biography
2013,Carrie,Pass,3,3.5266619,8.5001659,R,53,6,Drama
2013,Cloudy with a Chance of Meatballs 2,Fail,7.8,11.9640264,27.1725448,PG,59,6.5,Animation
2013,Despicable Me 2,Pass,7.6,36.8065385,97.0766005,PG,62,7.6,Animation
2013,Don Jon,Fail,0.55,2.4477704,2.6377704,R,66,6.8,Comedy
2013,Elysium,Pass,12,9.3050117,28.6192091,R,61,6.7,Action
2013,Epic,Pass,10,10.7518682,26.8418682,PG,52,6.7,Animation
2013,Escape from Planet Earth,Pass,4,5.7012977,6.6454811,PG,35,5.9,Animation
2013,Escape Plan,Fail,7,2.5213103,10.3813103,R,49,6.8,Action
2013,Evil Dead,Pass,1.7,5.4239856,9.7402049,R,57,6.5,Horror
2013,Frozen,Pass,15,39.3050114,100.4550114,PG,74,7.9,Animation
2013,G.I. Joe: Retaliation,Pass,14,12.252306,37.192306,PG-13,41,5.9,Action
2013,Gangster Squad,Fail,6,4.6000903,10.4100903,R,40,6.8,Action
2013,Gloria,Pass,3,0.4167493,0.4967493,R,83,7,Comedy
2013,Gravity,Fail,11,27.1814796,70.8714796,PG-13,96,8.2,Drama
2013,Grown Ups 2,Fail,8,13.3668525,24.7023808,PG-13,19,5.4,Comedy
2013,Her,Fail,2.3,2.5000178,3.3029713,R,90,8.3,Drama
2013,Identity Thief,Fail,3.5,13.450692,17.6269721,R,35,5.7,Comedy
2013,Insidious: Chapter 2,Fail,0.5,8.3586447,16.1911222,PG-13,40,6.7,Horror
