date,bikes_hired,year,wday,month,week,cloud_cover,humidity,pressure,radiation,precipitation,snow_depth,sunshine,mean_temp,min_temp,max_temp
2010-07-30T00:00:00Z,6897,2010,Fri,Jul,30,6,65,10147,157,22,NA,31,17.7,12.3,25.1
2010-07-31T00:00:00Z,5564,2010,Sat,Jul,30,5,70,10116,184,0,NA,47,21.1,17,23.9
2010-08-01T00:00:00Z,4303,2010,Sun,Aug,30,7,63,10132,89,0,NA,3,19.3,14.6,23.4
2010-08-02T00:00:00Z,6642,2010,Mon,Aug,31,7,59,10168,134,0,NA,20,19.5,15.6,23.6
2010-08-03T00:00:00Z,7966,2010,Tue,Aug,31,5,66,10157,169,0,NA,39,17.9,12.1,20.1
2010-08-04T00:00:00Z,7893,2010,Wed,Aug,31,6,75,10080,121,32,NA,15,17.4,14.7,22.6
2010-08-05T00:00:00Z,8724,2010,Thu,Aug,31,4,58,10125,227,0,NA,79,17.3,11.9,21.4
2010-08-06T00:00:00Z,9797,2010,Fri,Aug,31,6,75,10148,141,26,NA,25,16.4,11.3,21.8
2010-08-07T00:00:00Z,6631,2010,Sat,Aug,31,7,78,10148,112,10,NA,12,18.9,15.9,24.5
2010-08-08T00:00:00Z,7864,2010,Sun,Aug,31,4,64,10194,201,0,NA,62,19,13.5,25.1
2010-08-09T00:00:00Z,6191,2010,Mon,Aug,32,3,65,10154,226,48,NA,81,19.6,14.1,19.3
2010-08-10T00:00:00Z,4802,2010,Tue,Aug,32,7,89,10104,68,38,NA,0,16.7,14.1,23
2010-08-11T00:00:00Z,14013,2010,Wed,Aug,32,3,69,10133,203,0,NA,66,17.3,11.6,20.4
2010-08-12T00:00:00Z,13080,2010,Thu,Aug,32,6,75,10164,87,24,NA,4,16.4,12.3,18
2010-08-13T00:00:00Z,12151,2010,Fri,Aug,32,6,86,10175,111,48,NA,13,14.5,11,18.4
2010-08-14T00:00:00Z,9195,2010,Sat,Aug,32,6,89,10174,98,128,NA,8,15.7,13,22.7
2010-08-15T00:00:00Z,10928,2010,Sun,Aug,32,3,73,10202,165,0,NA,43,17.9,13,25.4
2010-08-16T00:00:00Z,15384,2010,Mon,Aug,33,4,63,10162,213,6,NA,77,19.1,12.8,21
2010-08-17T00:00:00Z,15396,2010,Tue,Aug,33,7,81,10106,117,0,NA,17,17.9,14.7,21.6
2010-08-18T00:00:00Z,16062,2010,Wed,Aug,33,6,66,10083,170,4,NA,48,17.3,13,21.9
2010-08-19T00:00:00Z,17170,2010,Thu,Aug,33,5,72,10124,143,0,NA,32,17,12,22.1
2010-08-20T00:00:00Z,16462,2010,Fri,Aug,33,7,82,10155,79,0,NA,3,19.4,16.7,24.3
2010-08-21T00:00:00Z,11719,2010,Sat,Aug,33,8,83,10183,88,8,NA,6,21.7,19.1,23.1
2010-08-22T00:00:00Z,10129,2010,Sun,Aug,33,7,84,10132,90,206,NA,7,20,16.9,21.7
2010-08-23T00:00:00Z,12935,2010,Mon,Aug,34,6,82,9996,138,0,NA,31,19.2,16.7,20.9
2010-08-24T00:00:00Z,17006,2010,Tue,Aug,34,2,69,10092,233,4,NA,103,16.3,11.6,19.3
2010-08-25T00:00:00Z,10062,2010,Wed,Aug,34,7,85,10129,82,186,NA,5,15.6,11.9,21.3
2010-08-26T00:00:00Z,9875,2010,Thu,Aug,34,8,93,10041,60,98,NA,0,17.3,13.2,18.5
2010-08-27T00:00:00Z,12854,2010,Fri,Aug,34,7,78,10106,89,0,NA,8,15.3,12,20.6
2010-08-28T00:00:00Z,10116,2010,Sat,Aug,34,4,66,10199,194,0,NA,75,15.3,9.9,19.6
2010-08-29T00:00:00Z,7811,2010,Sun,Aug,34,5,65,10169,153,20,NA,45,15.8,11.9,19.5
2010-08-30T00:00:00Z,10534,2010,Mon,Aug,35,3,64,10239,178,0,NA,64,14.4,9.2,20.5
2010-08-31T00:00:00Z,17508,2010,Tue,Aug,35,0,67,10256,238,0,NA,118,14.5,8.4,21.3
2010-09-01T00:00:00Z,19332,2010,Wed,Sep,35,0,65,10216,232,0,NA,123,15.3,9.3,21.9
2010-09-02T00:00:00Z,20909,2010,Thu,Sep,35,0,71,10210,224,0,NA,117,16.1,10.3,22.5
2010-09-03T00:00:00Z,20113,2010,Fri,Sep,35,1,71,10215,211,0,NA,105,17.2,11.9,22
2010-09-04T00:00:00Z,14373,2010,Sat,Sep,35,3,75,10211,140,0,NA,45,16.7,11.3,21.8
2010-09-05T00:00:00Z,12924,2010,Sun,Sep,35,5,67,10190,112,2,NA,26,17.5,13.2,21.8
