country,year,series,value
Afghanistan,2010,Tourism expenditure (millions of US dollars),147
Afghanistan,2016,Tourism expenditure (millions of US dollars),62
Afghanistan,2017,Tourism expenditure (millions of US dollars),16
Afghanistan,2018,Tourism expenditure (millions of US dollars),50
Albania,2010,Tourist/visitor arrivals (thousands),2191
Albania,2016,Tourist/visitor arrivals (thousands),4070
Albania,2017,Tourist/visitor arrivals (thousands),4643
Albania,2018,Tourist/visitor arrivals (thousands),5340
Albania,1995,Tourism expenditure (millions of US dollars),70
Albania,2005,Tourism expenditure (millions of US dollars),880
Albania,2010,Tourism expenditure (millions of US dollars),1778
Albania,2016,Tourism expenditure (millions of US dollars),1821
Albania,2017,Tourism expenditure (millions of US dollars),2050
Albania,2018,Tourism expenditure (millions of US dollars),2306
Algeria,1995,Tourist/visitor arrivals (thousands),520
Algeria,2005,Tourist/visitor arrivals (thousands),1443
Algeria,2010,Tourist/visitor arrivals (thousands),2070
Algeria,2016,Tourist/visitor arrivals (thousands),2039
Algeria,2017,Tourist/visitor arrivals (thousands),2451
Algeria,2018,Tourist/visitor arrivals (thousands),2657
Algeria,2005,Tourism expenditure (millions of US dollars),477
Algeria,2010,Tourism expenditure (millions of US dollars),324
Algeria,2016,Tourism expenditure (millions of US dollars),246
Algeria,2017,Tourism expenditure (millions of US dollars),172
American Samoa,1995,Tourist/visitor arrivals (thousands),34
American Samoa,2005,Tourist/visitor arrivals (thousands),24.5
American Samoa,2010,Tourist/visitor arrivals (thousands),23.1
American Samoa,2016,Tourist/visitor arrivals (thousands),20.1
American Samoa,2017,Tourist/visitor arrivals (thousands),20
American Samoa,2018,Tourist/visitor arrivals (thousands),20.2
American Samoa,2016,Tourism expenditure (millions of US dollars),22
American Samoa,2017,Tourism expenditure (millions of US dollars),22
Andorra,2005,Tourist/visitor arrivals (thousands),2418
Andorra,2010,Tourist/visitor arrivals (thousands),1808
Andorra,2016,Tourist/visitor arrivals (thousands),2819
Andorra,2017,Tourist/visitor arrivals (thousands),3003
Andorra,2018,Tourist/visitor arrivals (thousands),3042
Angola,1995,Tourist/visitor arrivals (thousands),9
Angola,2005,Tourist/visitor arrivals (thousands),210
Angola,2010,Tourist/visitor arrivals (thousands),425
Angola,2016,Tourist/visitor arrivals (thousands),397
Angola,2017,Tourist/visitor arrivals (thousands),261
Angola,2018,Tourist/visitor arrivals (thousands),218
Angola,1995,Tourism expenditure (millions of US dollars),27
Angola,2005,Tourism expenditure (millions of US dollars),103
Angola,2010,Tourism expenditure (millions of US dollars),726
Angola,2016,Tourism expenditure (millions of US dollars),628
Angola,2017,Tourism expenditure (millions of US dollars),884
Angola,2018,Tourism expenditure (millions of US dollars),557
Anguilla,1995,Tourist/visitor arrivals (thousands),39
Anguilla,2005,Tourist/visitor arrivals (thousands),62
Anguilla,2010,Tourist/visitor arrivals (thousands),62
Anguilla,2016,Tourist/visitor arrivals (thousands),79
Anguilla,2017,Tourist/visitor arrivals (thousands),68.3
Anguilla,2018,Tourist/visitor arrivals (thousands),55
Anguilla,1995,Tourism expenditure (millions of US dollars),50
Anguilla,2005,Tourism expenditure (millions of US dollars),86
Anguilla,2010,Tourism expenditure (millions of US dollars),99
Anguilla,2016,Tourism expenditure (millions of US dollars),136
Anguilla,2017,Tourism expenditure (millions of US dollars),141
Anguilla,2018,Tourism expenditure (millions of US dollars),102
Antigua and Barbuda,1995,Tourist/visitor arrivals (thousands),220
Antigua and Barbuda,2005,Tourist/visitor arrivals (thousands),245
Antigua and Barbuda,2010,Tourist/visitor arrivals (thousands),230
Antigua and Barbuda,2016,Tourist/visitor arrivals (thousands),265
Antigua and Barbuda,2017,Tourist/visitor arrivals (thousands),247
Antigua and Barbuda,2018,Tourist/visitor arrivals (thousands),269
Antigua and Barbuda,1995,Tourism expenditure (millions of US dollars),247
Antigua and Barbuda,2005,Tourism expenditure (millions of US dollars),309
Antigua and Barbuda,2010,Tourism expenditure (millions of US dollars),298
Antigua and Barbuda,2016,Tourism expenditure (millions of US dollars),753
Antigua and Barbuda,2017,Tourism expenditure (millions of US dollars),737
Antigua and Barbuda,2018,Tourism expenditure (millions of US dollars),881
Argentina,1995,Tourist/visitor arrivals (thousands),2289
Argentina,2005,Tourist/visitor arrivals (thousands),3823
Argentina,2010,Tourist/visitor arrivals (thousands),6800
Argentina,2016,Tourist/visitor arrivals (thousands),6668
Argentina,2017,Tourist/visitor arrivals (thousands),6711
Argentina,2018,Tourist/visitor arrivals (thousands),6942
Argentina,1995,Tourism expenditure (millions of US dollars),2550
Argentina,2005,Tourism expenditure (millions of US dollars),3209
Argentina,2010,Tourism expenditure (millions of US dollars),5605
Argentina,2016,Tourism expenditure (millions of US dollars),5466
Argentina,2017,Tourism expenditure (millions of US dollars),5835
Argentina,2018,Tourism expenditure (millions of US dollars),5999
Armenia,1995,Tourist/visitor arrivals (thousands),12
Armenia,2005,Tourist/visitor arrivals (thousands),319
Armenia,2010,Tourist/visitor arrivals (thousands),684
Armenia,2016,Tourist/visitor arrivals (thousands),1260
Armenia,2017,Tourist/visitor arrivals (thousands),1495
Armenia,2018,Tourist/visitor arrivals (thousands),1652
